userId,movieId,timestamp,rating
1,2137,964982791,5.0
1,2640,964982377,4.0
1,2005,964981710,5.0
1,2253,964981775,2.0
1,1620,964983056,4.0
1,2616,964983080,4.0
1,3479,964981725,4.0
1,2078,964982838,5.0
1,2596,964981144,5.0
1,2353,964983861,5.0
1,216,964981208,5.0
1,3703,964981909,5.0
1,1587,964982346,5.0
1,2529,964982242,5.0
1,2193,964981710,4.0
1,1089,964982951,5.0
1,1198,964981827,5.0
1,2459,964983414,5.0
1,1029,964982855,5.0
1,2096,964982838,4.0
1,3273,964983536,5.0
1,2427,964982242,5.0
1,1291,964981909,5.0
1,2406,964982310,4.0
1,3793,964981855,5.0
1,423,964982363,3.0
1,1298,964984086,5.0
1,1136,964981327,5.0
1,3671,964981589,5.0
1,1644,964983536,3.0
1,2093,964981710,3.0
1,3243,964981093,3.0
1,151,964984041,5.0
1,3450,964981144,5.0
1,2395,964981093,5.0
1,2985,964983034,4.0
1,1090,964984018,4.0
1,2141,964982838,5.0
1,2987,964982495,5.0
1,3527,964982271,4.0
1,3386,964983484,5.0
1,2959,964983282,5.0
1,1127,964982513,4.0
1,2654,964983393,5.0
1,592,964982271,4.0
1,2291,964983664,5.0
1,2997,964980896,4.0
2,115713,1445714854,3.5
2,6874,1445714952,4.0
2,80906,1445715172,5.0
2,106782,1445714966,5.0
2,60756,1445714980,5.0
2,8798,1445714960,3.5
3,1093,1306463627,0.5
3,2288,1306463631,4.0
3,2090,1306464261,0.5
3,2018,1306464175,0.5
3,688,1306464228,0.5
3,7991,1306463684,5.0
3,7899,1306464036,4.5
3,720,1306463595,0.5
4,2395,964623306,3.0
4,1225,964539326,4.0
4,539,964538832,1.0
4,162,945078571,5.0
4,125,964622758,5.0
4,441,986934915,1.0
4,126,986848920,1.0
4,1617,945079837,2.0
4,899,945079653,4.0
4,3033,986936200,4.0
4,4967,1007569424,5.0
4,4741,1007574532,3.0
4,457,945079259,5.0
4,2692,945079013,5.0
4,3255,964623306,4.0
4,2282,945629238,1.0
4,3508,964538351,5.0
4,3591,986935199,1.0
4,1136,986934625,5.0
4,2874,986935016,4.0
4,1834,945174134,5.0
4,475,945174290,5.0
4,930,964538571,5.0
4,2583,945078863,5.0
4,3176,964539771,4.0
4,2109,986935016,4.0
4,2973,945078946,2.0
4,1291,964538763,4.0
4,1466,945173492,4.0
4,4226,1007569424,2.0
4,4252,1007569465,3.0
4,4002,986934819,3.0
4,32,945173447,2.0
4,2921,945078708,4.0
4,1046,945173654,5.0
4,2203,945079729,4.0
4,1199,945078967,2.0
4,3358,964622758,3.0
4,348,964622786,4.0
4,1060,986934819,2.0
4,2926,986934870,5.0
4,2186,945174008,5.0
4,2763,964778621,1.0
4,1580,986935244,3.0
5,457,847434801,4.0
5,594,847435238,5.0
5,34,847434881,4.0
5,367,847435129,4.0
5,515,847435129,3.0
5,527,847434960,5.0
5,590,847434747,5.0
5,608,847435258,3.0
5,1,847434962,4.0
6,225,845553381,4.0
6,11,845553489,4.0
6,606,845555024,3.0
6,1061,845556860,4.0
6,93,845554584,4.0
6,378,845554987,3.0
6,662,845556147,3.0
6,609,845555342,4.0
6,711,845555317,4.0
6,185,845553283,3.0
6,515,845553794,4.0
6,434,845553200,4.0
6,219,845556131,3.0
6,333,845553757,5.0
6,818,845555514,3.0
6,22,845553875,5.0
6,631,845555265,4.0
6,5,845553938,5.0
6,480,845553200,5.0
6,258,845555172,3.0
6,802,845554584,4.0
6,205,845555477,3.0
6,835,845556194,4.0
6,271,845555249,4.0
6,216,845554099,4.0
6,380,845553110,4.0
6,65,845555070,3.0
