user,movieId,predictedRating,actualRating
1,2137,4.692942784429575,5.0
1,2640,4.296182977074385,4.0
1,2005,4.156696111476656,5.0
1,2253,4.277317257827902,2.0
1,1620,4.494997833429408,4.0
1,2616,4.23909445352342,4.0
1,3479,4.471232106911793,4.0
1,2078,4.693014059670202,5.0
1,2596,4.138087964175485,5.0
1,2353,4.243709470194151,5.0
1,216,4.216388375108775,5.0
1,3703,4.35168843633127,5.0
1,1587,4.428752012731706,5.0
1,2529,4.348680375428741,5.0
1,2193,4.428752012731706,4.0
1,1089,4.040083127988181,5.0
1,1198,4.531853345248137,5.0
1,2459,3.242329115579939,5.0
1,1029,4.83033694880193,5.0
1,2096,4.776493869415499,4.0
1,3273,3.585949688165633,5.0
1,2427,4.549637771609964,5.0
1,1291,4.531853345248137,5.0
1,2406,4.337952133128027,4.0
1,3793,4.296182977074385,5.0
1,423,4.243709470194151,3.0
1,1298,4.691697732660819,5.0
1,1136,4.332507484157186,5.0
1,3671,4.203491359768479,5.0
1,1644,3.664382618862115,3.0
1,2093,4.377475139476965,3.0
1,3243,4.216388375108775,3.0
1,151,4.563309320357541,5.0
1,3450,4.216388375108775,5.0
1,2395,4.138087964175485,5.0
1,2985,4.247041094503721,4.0
1,1090,4.661161802519065,4.0
1,2141,4.508927035064591,5.0
1,2987,4.456911294690037,5.0
1,3527,4.220220597203719,4.0
1,3386,4.206828644728871,5.0
1,2959,4.37738797322039,5.0
1,1127,4.35168843633127,4.0
1,2654,4.090257121654675,5.0
1,592,4.355838953979697,4.0
1,2291,4.467422422788485,5.0
1,2997,4.194824213435362,4.0
2,115713,3.8165303099921264,3.5
2,6874,3.7558978468719206,4.0
2,80906,4.171572875253809,5.0
2,106782,3.7774950044541646,5.0
2,60756,3.6782070625503933,5.0
2,8798,3.810253416390318,3.5
3,1093,0.7259026494947142,0.5
3,2288,4.176297064470425,4.0
3,2090,1.289164213027368,0.5
3,2018,0.681684863290478,0.5
3,688,2.569683156734415,0.5
3,7991,3.96826351829448,5.0
3,7899,3.6287187078897962,4.5
3,720,2.334964955619929,0.5
4,2395,3.381528328933002,3.0
4,1225,3.8529881945804005,4.0
4,539,3.343565432939663,1.0
4,162,3.0,5.0
4,125,3.866774963600757,5.0
4,441,3.866774963600757,1.0
4,126,3.8631820950217417,1.0
4,1617,3.70778135197906,2.0
4,899,3.8186809480230757,4.0
4,3033,3.6190358711939794,4.0
4,4967,3.6353140990773145,5.0
4,4741,3.343565432939663,3.0
4,457,3.410847238893979,5.0
4,2692,3.4487900923649746,5.0
4,3255,3.381528328933002,4.0
4,2282,3.381528328933002,1.0
4,3508,3.5385456980604455,5.0
4,3591,3.381528328933002,1.0
4,1136,3.7088874665047653,5.0
4,2874,3.8186809480230757,4.0
4,1834,3.546469740763939,5.0
4,475,3.8529881945804005,5.0
4,930,3.1414723877240656,5.0
4,2583,3.381528328933002,5.0
4,3176,3.666018754462585,4.0
4,2109,3.866774963600757,4.0
4,2973,3.366083506485351,2.0
4,1291,3.554311957897143,4.0
4,1466,4.100778918816214,4.0
4,4226,3.554145201426156,2.0
4,4252,3.8529881945804005,3.0
4,4002,3.866774963600757,3.0
4,32,3.370758386875619,2.0
4,2921,3.646553891237154,4.0
4,1046,3.129248794147767,5.0
4,2203,3.7847764004293896,4.0
4,1199,3.435089579168804,2.0
4,3358,3.480459939621958,3.0
4,348,3.866774963600757,4.0
4,1060,3.381528328933002,2.0
4,2926,3.381528328933002,5.0
4,2186,3.7895977442408957,5.0
4,2763,3.5198345064868883,1.0
4,1580,3.1778404716167823,3.0
5,457,3.621297763283121,4.0
5,594,3.9772527138054197,5.0
5,34,3.8078340420564354,4.0
5,367,3.424401721690813,4.0
5,515,3.5230833660878846,3.0
5,527,3.660492527733262,5.0
5,590,3.487478314263581,5.0
5,608,3.855855354801037,3.0
5,1,3.5289842128716766,4.0
6,225,3.401659501800315,4.0
6,11,3.7416497451685626,4.0
6,606,3.1857871891891554,3.0
6,1061,3.524205040804423,4.0
6,93,3.5778791440252165,4.0
6,378,3.7206544650195297,3.0
6,662,3.524205040804423,3.0
6,609,3.5334510375308903,4.0
6,711,3.5334510375308903,4.0
6,185,3.3291207949341413,3.0
6,515,3.4368304688699616,4.0
6,434,3.809227888341706,4.0
6,219,3.5789473684210527,3.0
6,333,3.263157894736842,5.0
6,818,3.263157894736842,3.0
6,22,3.39571000596142,5.0
6,631,3.902780397489732,4.0
6,5,3.263157894736842,5.0
6,480,3.790231419414382,5.0
6,258,3.3564262015198367,3.0
